OrderID,CustomerName,AreaName,DeliveryAgent,FoodItem,UnitPrice,UnitPriceDiscount,OrderQuantity,OrderDate,OrderMonth,PaymentMethod,OrderStatus,OrderDetails,FoodCategory
ord_15001,Aryan Shah,Jayanagar,Manoj Singh,Pasta,200,22,2,01/01/23,January,UPI,Delivered,Before Time,Non Indian-Veg
ord_15002,Akash Gupta,Jayanagar,Divya Patel,Fish Curry,190,11.4,1,01/01/23,January,Online Payment,Delivered,On Time,Indian-Non Veg
ord_15003,Naveen Kumar,Koramangala,Pooja Sharma,Chicken Curry,200,28,2,01/01/23,January,Online Payment,Delivered,Late,Indian-Non Veg
ord_15004,Aryan Shah,Jayanagar,Sneha Verma,Pasta,200,14,2,01/01/23,January,Online Payment,Delivered,On Time,Non Indian-Veg
ord_15005,Pooja Patel,BTM Layout,Ananya Reddy,Fish Curry,190,19,1,01/01/23,January,UPI,Delivered,On Time,Indian-Non Veg
ord_15006,Arjun Shah,MG Road,Ananya Reddy,Masala Dosa,100,15,1,01/01/23,January,UPI,Delivered,On Time,Indian-Veg
ord_15007,Arjun Shah,MG Road,Ananya Reddy,Burger,120,10.8,1,01/01/23,January,Credit Card,Delivered,Late,Non Indian-Veg
ord_15008,Anjali Jain,Malleswaram,Anil Gupta,Butter Chicken,280,16.8,3,02/01/23,January,Credit Card,Delivered,On Time,Indian-Non Veg
ord_15009,Arjun Shah,MG Road,Ravi Tiwari,Fried Rice,150,15,2,02/01/23,January,UPI,Delivered,On Time,Non Indian-Veg
ord_15010,Karan Sharma,Marathahalli,Manoj Singh,Burger,120,15.6,1,02/01/23,January,Online Payment,Cancelled,Refund Initiated,Non Indian-Veg
ord_15011,Sneha Jain,HSR Layout,Siddharth Singh,Pasta,200,22,2,02/01/23,January,Credit Card,Delivered,On Time,Non Indian-Veg
ord_15012,Raj Kapoor,Malleswaram,Pooja Sharma,Burger,120,13.2,1,02/01/23,January,Credit Card,Delivered,On Time,Non Indian-Veg
ord_15013,Neha Patel,Whitefield,Anil Gupta,Hakka Noodles,160,17.6,1,02/01/23,January,UPI,Delivered,Late,Non Indian-Non Veg
ord_15014,Neha Patel,Whitefield,Ananya Reddy,Pizza,300,39,3,03/01/23,January,UPI,Delivered,Before Time,Non Indian-Veg
ord_15015,Rohit Singh,Indiranagar,Anil Gupta,Burger,120,18,1,03/01/23,January,Online Payment,Cancelled,Refund Initiated,Non Indian-Veg
ord_15016,Naveen Kumar,Koramangala,Ananya Reddy,Pizza,300,42,3,03/01/23,January,UPI,Delivered,On Time,Non Indian-Veg
ord_15017,Karan Sharma,Marathahalli,Anil Gupta,Biryani,250,27.5,2,03/01/23,January,Online Payment,Delivered,Before Time,Indian-Veg
ord_15018,Akash Gupta,Jayanagar,Anil Gupta,Noodles,130,16.9,1,04/01/23,January,UPI,Delivered,On Time,Non Indian-Non Veg
ord_15019,Rohan Patel,Indiranagar,Divya Patel,Butter Naan,50,5.5,4,04/01/23,January,Online Payment,Cancelled,Refund Initiated,Indian-Veg
ord_15020,Naveen Kumar,Koramangala,Siddharth Singh,Veg Biryani,230,20.7,2,04/01/23,January,Online Payment,Delivered,On Time,Indian-Veg
ord_15021,Rahul Sharma,MG Road,Rajesh Kumar,Pizza,300,24,3,04/01/23,January,UPI,Cancelled,Refund Initiated,Non Indian-Veg
ord_15022,Akash Gupta,Jayanagar,Divya Patel,Pav Bhaji,150,19.5,2,04/01/23,January,UPI,Delivered,On Time,Indian-Veg
ord_15023,Aryan Shah,Jayanagar,Ravi Tiwari,Masala Dosa,100,7,1,04/01/23,January,Online Payment,Delivered,Before Time,Indian-Veg
ord_15024,Naveen Kumar,Koramangala,Divya Patel,Biryani,250,32.5,2,04/01/23,January,UPI,Delivered,On Time,Indian-Veg
ord_15025,Arjun Shah,MG Road,Anil Gupta,Fish Curry,190,9.5,1,04/01/23,January,Credit Card,Delivered,On Time,Indian-Non Veg
ord_15026,Raj Kapoor,Malleswaram,Anil Gupta,Paneer Tikka,180,12.6,1,04/01/23,January,UPI,Delivered,Before Time,Indian-Veg
ord_15027,Rohit Singh,Indiranagar,Ravi Tiwari,Sushi,350,42,1,04/01/23,January,Online Payment,Delivered,On Time,Non Indian-Non Veg
ord_15028,Priya Singh,Brigade Road,Manoj Singh,Pizza,300,36,3,04/01/23,January,Online Payment,Delivered,Late,Non Indian-Veg
ord_15029,Aryan Shah,Jayanagar,Siddharth Singh,Veg Biryani,230,34.5,2,05/01/23,January,UPI,Cancelled,Refund Not Initiated,Indian-Veg
ord_15030,Naveen Kumar,Koramangala,Sneha Verma,Fried Rice,150,22.5,2,05/01/23,January,UPI,Cancelled,Refund Initiated,Non Indian-Veg
ord_15031,Akash Gupta,Jayanagar,Siddharth Singh,Burger,120,6,1,05/01/23,January,Online Payment,Delivered,On Time,Non Indian-Veg
ord_15032,Deepak Sharma,HSR Layout,Sneha Verma,Burger,120,18,1,05/01/23,January,UPI,Cancelled,Refund Initiated,Non Indian-Veg
ord_15033,Pooja Patel,BTM Layout,Ravi Tiwari,Chicken Tikka,180,19.8,1,05/01/23,January,Credit Card,Delivered,On Time,Indian-Non Veg
ord_15034,Deepak Sharma,HSR Layout,Siddharth Singh,Butter Naan,50,4,4,05/01/23,January,Online Payment,Delivered,On Time,Indian-Veg
ord_15035,Karan Sharma,Marathahalli,Manoj Singh,Samosa,20,1,5,05/01/23,January,Online Payment,Delivered,Before Time,Indian-Veg
ord_15036,Rohit Singh,Indiranagar,Siddharth Singh,Fried Rice,150,10.5,2,05/01/23,January,UPI,Cancelled,Refund Not Initiated,Non Indian-Veg
ord_15037,Karan Sharma,Marathahalli,Ananya Reddy,Veg Biryani,230,20.7,2,05/01/23,January,Online Payment,Delivered,On Time,Indian-Veg
